Time,average,sem,ul original,media
0,0.089333,0.000882,0,TSB
0,0.064333,0.000333,0,LB
0,0.554,0.02616,100,TSB
0,0.539333,0.032095,100,LB
0,0.128333,0.001856,9.090909,TSB
0,0.094333,0.001202,9.090909,LB
0,0.094333,0.000667,0.826446,TSB
0,0.067667,0.003712,0.826446,LB
0,0.092,0.001528,0.075131,TSB
0,0.062667,0.000333,0.075131,LB
0,0.089667,0.000333,0.00683,TSB
0,0.063,0.000577,0.00683,LB
1775.6,0.09,0.001155,0,TSB
1775.6,0.064,0,0,LB
1775.6,0.543333,0.021851,100,TSB
1775.6,0.469667,0.015377,100,LB
1775.6,0.128333,0.002404,9.090909,TSB
1775.6,0.087333,0.000882,9.090909,LB
1775.6,0.094,0.001155,0.826446,TSB
1775.6,0.069,0.003512,0.826446,LB
1775.6,0.091333,0.000333,0.075131,TSB
1775.6,0.063,0.000577,0.075131,LB
1775.6,0.090333,0.000333,0.00683,TSB
1775.6,0.063333,0.000333,0.00683,LB
3549.5,0.217333,0.128333,0,TSB
3549.5,0.064,0.000577,0,LB
3549.5,0.534667,0.020739,100,TSB
3549.5,0.545333,0.006386,100,LB
3549.5,0.13,0.002082,9.090909,TSB
3549.5,0.088333,0.000882,9.090909,LB
3549.5,0.096333,0.001202,0.826446,TSB
3549.5,0.09,0.024502,0.826446,LB
3549.5,0.092,0.000577,0.075131,TSB
3549.5,0.064,0.000577,0.075131,LB
3549.5,0.091667,0.000333,0.00683,TSB
3549.5,0.063667,0.000333,0.00683,LB
5349.9,0.089333,0.001453,0,TSB
5349.9,0.064,0,0,LB
5349.9,0.528333,0.021987,100,TSB
5349.9,0.554333,0.01431,100,LB
5349.9,0.146667,0.00584,9.090909,TSB
5349.9,0.103333,0.001202,9.090909,LB
5349.9,0.094667,0.000667,0.826446,TSB
5349.9,0.160667,0.095674,0.826446,LB
5349.9,0.092,0.000577,0.075131,TSB
5349.9,0.063333,0.000333,0.075131,LB
5349.9,0.091333,0.000333,0.00683,TSB
5349.9,0.063667,0.001667,0.00683,LB
7132.7,0.09,0.001,0,TSB
7132.7,0.064667,0.000667,0,LB
7132.7,0.526333,0.019886,100,TSB
7132.7,0.571667,0.000882,100,LB
7132.7,0.139333,0.002404,9.090909,TSB
7132.7,0.125333,0.00809,9.090909,LB
7132.7,0.096333,0.001856,0.826446,TSB
7132.7,0.307,0.239001,0.826446,LB
7132.7,0.092667,0.000333,0.075131,TSB
7132.7,0.064,0,0.075131,LB
7132.7,0.091667,0.000333,0.00683,TSB
7132.7,0.085,0.021502,0.00683,LB
8871.9,0.091,0.001,0,TSB
8871.9,0.064667,0.000333,0,LB
8871.9,0.523667,0.018702,100,TSB
8871.9,0.570333,0.002963,100,LB
8871.9,0.142333,0.003844,9.090909,TSB
8871.9,0.133667,0.006642,9.090909,LB
8871.9,0.097333,0.000333,0.826446,TSB
8871.9,0.069333,0.000882,0.826446,LB
8871.9,0.093667,0.000333,0.075131,TSB
8871.9,0.063333,0.000333,0.075131,LB
8871.9,0.092,9.81E-18,0.00683,TSB
8871.9,0.064,0.000577,0.00683,LB
10646.1,0.089333,0.000882,0,TSB
10646.1,0.063667,0.000882,0,LB
10646.1,0.519333,0.016374,100,TSB
10646.1,0.574667,0.00584,100,LB
10646.1,0.146,0.004163,9.090909,TSB
10646.1,0.134,0.002082,9.090909,LB
10646.1,0.098667,0.001667,0.826446,TSB
10646.1,0.07,0.000577,0.826446,LB
10646.1,0.092333,0.000333,0.075131,TSB
10646.1,0.063333,0.000333,0.075131,LB
10646.1,0.091333,0.000333,0.00683,TSB
10646.1,0.062333,0.000333,0.00683,LB
12420.2,0.090667,0.000882,0,TSB
12420.2,0.064333,0.000333,0,LB
12420.2,0.514,0.013868,100,TSB
12420.2,0.591,0.012097,100,LB
12420.2,0.155,0.003215,9.090909,TSB
12420.2,0.135,0.007024,9.090909,LB
12420.2,0.101333,0.000882,0.826446,TSB
12420.2,0.073,0.000577,0.826446,LB
12420.2,0.094,0.000577,0.075131,TSB
12420.2,0.064333,0.000667,0.075131,LB
12420.2,0.091667,0.000333,0.00683,TSB
12420.2,0.064333,0.000333,0.00683,LB
14194.4,0.090333,0.000882,0,TSB
14194.4,0.063,0.000577,0,LB
14194.4,0.498333,0.013544,100,TSB
14194.4,0.605,0.013577,100,LB
14194.4,0.164667,0.001333,9.090909,TSB
14194.4,0.138667,0.008293,9.090909,LB
14194.4,0.102333,0.001333,0.826446,TSB
14194.4,0.082667,0.001764,0.826446,LB
14194.4,0.092667,0.000882,0.075131,TSB
14194.4,0.063333,0.000333,0.075131,LB
14194.4,0.090667,0.000882,0.00683,TSB
14194.4,0.062333,0.000667,0.00683,LB
15966.1,0.091333,0.000882,0,TSB
15966.1,0.064,0.000577,0,LB
15966.1,0.487333,0.01374,100,TSB
15966.1,0.613,0.008083,100,LB
15966.1,0.170667,0.003844,9.090909,TSB
15966.1,0.145333,0.005548,9.090909,LB
15966.1,0.13,0.001732,0.826446,TSB
15966.1,0.105667,0.008838,0.826446,LB
15966.1,0.094667,0.000882,0.075131,TSB
15966.1,0.065667,0.000333,0.075131,LB
15966.1,0.092333,0.000333,0.00683,TSB
15966.1,0.064,0,0.00683,LB
17742.9,0.09,0.001,0,TSB
17742.9,0.064333,0.000333,0,LB
17742.9,0.479667,0.01923,100,TSB
17742.9,0.613333,0.009207,100,LB
17742.9,0.171667,0.004978,9.090909,TSB
17742.9,0.149,0.004163,9.090909,LB
17742.9,0.115,0.002646,0.826446,TSB
17742.9,0.114667,0.00786,0.826446,LB
17742.9,0.095333,0.000333,0.075131,TSB
17742.9,0.065333,0.000882,0.075131,LB
17742.9,0.092333,0.000333,0.00683,TSB
17742.9,0.063667,0.000333,0.00683,LB
19516.8,0.092667,0.000333,0,TSB
19516.8,0.066,0.001155,0,LB
19516.8,0.477,0.02248,100,TSB
19516.8,0.620667,0.008172,100,LB
19516.8,0.179667,0.006173,9.090909,TSB
19516.8,0.164,0.003,9.090909,LB
19516.8,0.120667,0.00441,0.826446,TSB
19516.8,0.122,0.007095,0.826446,LB
19516.8,0.097333,0.000882,0.075131,TSB
19516.8,0.069333,0.001202,0.075131,LB
19516.8,0.095667,0.000333,0.00683,TSB
19516.8,0.067,0.000577,0.00683,LB
21290.9,0.090333,0.000882,0,TSB
21290.9,0.063333,0.001202,0,LB
21290.9,0.461333,0.015815,100,TSB
21290.9,0.623333,0.014438,100,LB
21290.9,0.180667,0.001764,9.090909,TSB
21290.9,0.177,0.005686,9.090909,LB
21290.9,0.121333,0.002603,0.826446,TSB
21290.9,0.113,0.004583,0.826446,LB
21290.9,0.095333,0.001453,0.075131,TSB
21290.9,0.067667,0.001202,0.075131,LB
21290.9,0.091,0.001155,0.00683,TSB
21290.9,0.064,0.000577,0.00683,LB
23065,0.091333,0.000882,0,TSB
23065,0.064,0,0,LB
23065,0.459,0.016073,100,TSB
23065,0.624,0.010066,100,LB
23065,0.195667,0.003283,9.090909,TSB
23065,0.199333,0.007881,9.090909,LB
23065,0.124333,0.006438,0.826446,TSB
23065,0.111333,0.006667,0.826446,LB
23065,0.099333,0.000667,0.075131,TSB
23065,0.072667,0.000333,0.075131,LB
23065,0.091667,0.000333,0.00683,TSB
23065,0.068667,0.004702,0.00683,LB
24839,0.091333,0.000882,0,TSB
24839,0.064333,0.000333,0,LB
24839,0.452667,0.015409,100,TSB
24839,0.624667,0.014993,100,LB
24839,0.208333,0.005364,9.090909,TSB
24839,0.230333,0.01386,9.090909,LB
24839,0.125667,0.003712,0.826446,TSB
24839,0.118333,0.008686,0.826446,LB
24839,0.107667,0.000333,0.075131,TSB
24839,0.084667,0.002028,0.075131,LB
24839,0.092667,0.000667,0.00683,TSB
24839,0.115667,0.050667,0.00683,LB
26610.8,0.092,0.001,0,TSB
26610.8,0.066,0.000577,0,LB
26610.8,0.449667,0.015592,100,TSB
26610.8,0.628667,0.017052,100,LB
26610.8,0.218667,0.004667,9.090909,TSB
26610.8,0.243667,0.01374,9.090909,LB
26610.8,0.128667,0.003283,0.826446,TSB
26610.8,0.119333,0.007219,0.826446,LB
26610.8,0.124,0.002646,0.075131,TSB
26610.8,0.113333,0.010171,0.075131,LB
26610.8,0.095,0.000577,0.00683,TSB
26610.8,0.239333,0.172834,0.00683,LB
28387.5,0.091667,0.000667,0,TSB
28387.5,0.064667,0.000333,0,LB
28387.5,0.45,0.014933,100,TSB
28387.5,0.637667,0.018889,100,LB
28387.5,0.227667,0.003844,9.090909,TSB
28387.5,0.254333,0.016796,9.090909,LB
28387.5,0.132,0.002309,0.826446,TSB
28387.5,0.128,0.010583,0.826446,LB
28387.5,0.112,0.002646,0.075131,TSB
28387.5,0.12,0.005774,0.075131,LB
28387.5,0.095,9.81E-18,0.00683,TSB
28387.5,0.343667,0.276667,0.00683,LB
30161.4,0.090667,0.000667,0,TSB
30161.4,0.065,0,0,LB
30161.4,0.460667,0.02198,100,TSB
30161.4,0.650667,0.022048,100,LB
30161.4,0.234667,0.001202,9.090909,TSB
30161.4,0.259667,0.024909,9.090909,LB
30161.4,0.136667,0.003756,0.826446,TSB
30161.4,0.137667,0.015496,0.826446,LB
30161.4,0.114667,0.002906,0.075131,TSB
30161.4,0.114,0.003606,0.075131,LB
30161.4,0.095333,0.001202,0.00683,TSB
30161.4,0.069667,0.000882,0.00683,LB
31935.5,0.092,0.001155,0,TSB
31935.5,0.065333,0.000333,0,LB
31935.5,0.45,0.008505,100,TSB
31935.5,0.665667,0.023068,100,LB
31935.5,0.251667,0.001667,9.090909,TSB
31935.5,0.275333,0.031248,9.090909,LB
31935.5,0.145667,0.004333,0.826446,TSB
31935.5,0.154667,0.017285,0.826446,LB
31935.5,0.115667,0.003283,0.075131,TSB
31935.5,0.107667,0.00441,0.075131,LB
31935.5,0.098,0.000577,0.00683,TSB
31935.5,0.074,0.001732,0.00683,LB
33709.6,0.092,0.001528,0,TSB
33709.6,0.064667,0.000333,0,LB
33709.6,0.46,0.011719,100,TSB
33709.6,0.676333,0.025621,100,LB
33709.6,0.265667,0.001453,9.090909,TSB
33709.6,0.285,0.036661,9.090909,LB
33709.6,0.152667,0.003712,0.826446,TSB
33709.6,0.160333,0.017938,0.826446,LB
33709.6,0.116,0.002082,0.075131,TSB
33709.6,0.105667,0.00393,0.075131,LB
33709.6,0.1,0.000577,0.00683,TSB
33709.6,0.083667,0.005548,0.00683,LB
35483.7,0.092333,0.000882,0,TSB
35483.7,0.064667,0.000333,0,LB
35483.7,0.451333,0.010269,100,TSB
35483.7,0.688333,0.02686,100,LB
35483.7,0.282,0.002309,9.090909,TSB
35483.7,0.297667,0.037755,9.090909,LB
35483.7,0.162667,0.002906,0.826446,TSB
35483.7,0.168667,0.02048,0.826446,LB
35483.7,0.119333,0.000667,0.075131,TSB
35483.7,0.108667,0.002333,0.075131,LB
35483.7,0.107333,0.000667,0.00683,TSB
35483.7,0.098,0.005568,0.00683,LB
37257.8,0.092,0.001528,0,TSB
37257.8,0.064667,0.000333,0,LB
37257.8,0.461,0.013317,100,TSB
37257.8,0.698667,0.028486,100,LB
37257.8,0.299667,0.003712,9.090909,TSB
37257.8,0.32,0.037802,9.090909,LB
37257.8,0.171667,0.00318,0.826446,TSB
37257.8,0.175,0.019079,0.826446,LB
37257.8,0.121667,0.000882,0.075131,TSB
37257.8,0.115667,0.002186,0.075131,LB
37257.8,0.12,0.002,0.00683,TSB
37257.8,0.114667,0.001856,0.00683,LB
39031.9,0.091333,0.001333,0,TSB
39031.9,0.063667,0.000333,0,LB
39031.9,0.455333,0.01105,100,TSB
39031.9,0.708,0.029309,100,LB
39031.9,0.312667,0.001202,9.090909,TSB
39031.9,0.321,0.045369,9.090909,LB
39031.9,0.180667,0.00348,0.826446,TSB
39031.9,0.176667,0.016384,0.826446,LB
39031.9,0.129,0.002082,0.075131,TSB
39031.9,0.124,0.002309,0.075131,LB
39031.9,0.109667,0.003667,0.00683,TSB
39031.9,0.125333,0.009838,0.00683,LB
40806,0.091,0.000577,0,TSB
40806,0.063,0,0,LB
40806,0.460667,0.012115,100,TSB
40806,0.716333,0.027847,100,LB
40806,0.332,0.005,9.090909,TSB
40806,0.324333,0.050775,9.090909,LB
40806,0.192667,0.004485,0.826446,TSB
40806,0.190667,0.020276,0.826446,LB
40806,0.137,0.002517,0.075131,TSB
40806,0.139333,0.006888,0.075131,LB
40806,0.111667,0.00348,0.00683,TSB
40806,0.124333,0.005925,0.00683,LB
42580.1,0.091333,0.001333,0,TSB
42580.1,0.063333,0.000333,0,LB
42580.1,0.455333,0.009528,100,TSB
42580.1,0.725,0.02797,100,LB
42580.1,0.343333,0.004702,9.090909,TSB
42580.1,0.335333,0.053167,9.090909,LB
42580.1,0.203667,0.004842,0.826446,TSB
42580.1,0.197,0.019296,0.826446,LB
42580.1,0.149333,0.002848,0.075131,TSB
42580.1,0.155,0.006506,0.075131,LB
42580.1,0.115333,0.004096,0.00683,TSB
42580.1,0.126,0.007937,0.00683,LB
44354.3,0.091333,0.001333,0,TSB
44354.3,0.063333,0.000667,0,LB
44354.3,0.452,0.01159,100,TSB
44354.3,0.731333,0.024633,100,LB
44354.3,0.343,0.001155,9.090909,TSB
44354.3,0.349667,0.055019,9.090909,LB
44354.3,0.217,0.004509,0.826446,TSB
44354.3,0.207333,0.022981,0.826446,LB
44354.3,0.16,0.004359,0.075131,TSB
44354.3,0.168,0.010066,0.075131,LB
44354.3,0.114333,0.001202,0.00683,TSB
44354.3,0.128667,0.005897,0.00683,LB
46126,0.092,0.001,0,TSB
46126,0.064,0,0,LB
46126,0.454333,0.009821,100,TSB
46126,0.739,0.022143,100,LB
46126,0.343333,0.00318,9.090909,TSB
46126,0.350333,0.060609,9.090909,LB
46126,0.233333,0.003844,0.826446,TSB
46126,0.206667,0.014495,0.826446,LB
46126,0.169,0.003055,0.075131,TSB
46126,0.178333,0.005696,0.075131,LB
46126,0.119667,0.002028,0.00683,TSB
46126,0.127333,0.007311,0.00683,LB
47902.8,0.091667,0.001202,0,TSB
47902.8,0.063667,0.000333,0,LB
47902.8,0.459667,0.009207,100,TSB
47902.8,0.745333,0.019675,100,LB
47902.8,0.339333,0.002906,9.090909,TSB
47902.8,0.353,0.064578,9.090909,LB
47902.8,0.244667,0.005457,0.826446,TSB
47902.8,0.211333,0.015603,0.826446,LB
47902.8,0.177,0.004359,0.075131,TSB
47902.8,0.182,0.008021,0.075131,LB
47902.8,0.123,0.004,0.00683,TSB
47902.8,0.125333,0.006936,0.00683,LB
49676.7,0.091,0.001,0,TSB
49676.7,0.063,0,0,LB
49676.7,0.453,0.008963,100,TSB
49676.7,0.750667,0.018782,100,LB
49676.7,0.332,0.004041,9.090909,TSB
49676.7,0.358333,0.068936,9.090909,LB
49676.7,0.255667,0.00491,0.826446,TSB
49676.7,0.219667,0.024835,0.826446,LB
49676.7,0.183,0.004583,0.075131,TSB
49676.7,0.183667,0.007688,0.075131,LB
49676.7,0.129333,0.00636,0.00683,TSB
49676.7,0.129667,0.00441,0.00683,LB
51448.5,0.089,0.002517,0,TSB
51448.5,0.062333,0.000882,0,LB
51448.5,0.452,0.013077,100,TSB
51448.5,0.753,0.019287,100,LB
51448.5,0.320333,0.004333,9.090909,TSB
51448.5,0.391,0.100759,9.090909,LB
51448.5,0.267333,0.005667,0.826446,TSB
51448.5,0.229,0.026458,0.826446,LB
51448.5,0.191,0.007506,0.075131,TSB
51448.5,0.19,0.002646,0.075131,LB
51448.5,0.137,0.007024,0.00683,TSB
51448.5,0.137333,0.005457,0.00683,LB
53225.2,0.094,0.000577,0,TSB
53225.2,0.066333,0.000882,0,LB
53225.2,0.455333,0.008876,100,TSB
53225.2,0.763333,0.017534,100,LB
53225.2,0.314,0.004041,9.090909,TSB
53225.2,0.411667,0.111101,9.090909,LB
53225.2,0.283667,0.003844,0.826446,TSB
53225.2,0.254667,0.018442,0.826446,LB
53225.2,0.204667,0.007172,0.075131,TSB
53225.2,0.199333,0.006642,0.075131,LB
53225.2,0.153667,0.009684,0.00683,TSB
53225.2,0.168,0.01852,0.00683,LB
54999,0.093,0.001,0,TSB
54999,0.064,0,0,LB
54999,0.454333,0.009262,100,TSB
54999,0.77,0.016773,100,LB
54999,0.305333,0.004096,9.090909,TSB
54999,0.419667,0.114613,9.090909,LB
54999,0.29,0.005686,0.826446,TSB
54999,0.276667,0.021674,0.826446,LB
54999,0.217,0.008544,0.075131,TSB
54999,0.201333,0.006692,0.075131,LB
54999,0.164667,0.008172,0.00683,TSB
54999,0.187,0.028,0.00683,LB
56770.6,0.091,0.001,0,TSB
56770.6,0.063333,0.000333,0,LB
56770.6,0.453,0.011269,100,TSB
56770.6,0.777333,0.014193,100,LB
56770.6,0.296,0.004509,9.090909,TSB
56770.6,0.423667,0.115247,9.090909,LB
56770.6,0.300333,0.004807,0.826446,TSB
56770.6,0.287333,0.027473,0.826446,LB
56770.6,0.228667,0.009684,0.075131,TSB
56770.6,0.200667,0.008212,0.075131,LB
56770.6,0.170333,0.011348,0.00683,TSB
56770.6,0.197,0.027055,0.00683,LB
58547.3,0.091333,0.001333,0,TSB
58547.3,0.063333,0.000333,0,LB
58547.3,0.455667,0.006489,100,TSB
58547.3,0.782,0.014154,100,LB
58547.3,0.290333,0.003844,9.090909,TSB
58547.3,0.431667,0.116179,9.090909,LB
58547.3,0.307333,0.00441,0.826446,TSB
58547.3,0.298667,0.02831,0.826446,LB
58547.3,0.241667,0.008686,0.075131,TSB
58547.3,0.190333,0.002404,0.075131,LB
58547.3,0.178667,0.01117,0.00683,TSB
58547.3,0.208333,0.028754,0.00683,LB
60321.1,0.092,0.001528,0,TSB
60321.1,0.064333,0.000333,0,LB
60321.1,0.457333,0.012548,100,TSB
60321.1,0.788,0.013,100,LB
60321.1,0.286333,0.00393,9.090909,TSB
60321.1,0.456667,0.109721,9.090909,LB
60321.1,0.311333,0.004667,0.826446,TSB
60321.1,0.308333,0.029356,0.826446,LB
60321.1,0.253667,0.009171,0.075131,TSB
60321.1,0.189,0.008021,0.075131,LB
60321.1,0.186333,0.011865,0.00683,TSB
60321.1,0.223333,0.031317,0.00683,LB
62095.1,0.092333,0.001333,0,TSB
62095.1,0.063667,0.000882,0,LB
62095.1,0.455,0.010116,100,TSB
62095.1,0.792667,0.012347,100,LB
62095.1,0.281667,0.003844,9.090909,TSB
62095.1,0.468667,0.115783,9.090909,LB
62095.1,0.311333,0.00584,0.826446,TSB
62095.1,0.318,0.029872,0.826446,LB
62095.1,0.264333,0.009838,0.075131,TSB
62095.1,0.187667,0.007965,0.075131,LB
62095.1,0.196333,0.01398,0.00683,TSB
62095.1,0.23,0.029838,0.00683,LB